coordinate,class_code,class_name,scenario_code,scenario_name,maturity,item_kind,m0_run_items,canonical_item_ids,ready_pool_items,extra_ready_items,m0_status,m1_min_items,missing_ready_items_to_m1,negative_items_ready,split_status,explanation_tags_status,truth_quality,independent_units,run_manifest_ref,source_pool_ref,m1_candidate_ref,next_dataset_step
DC-C05-S04-M0,C05,code_injection,S04,deep_cost,M0,apk_pair,2,M0-C05-PB-001;M0-C05-PB-002,20,18,ready,20,0,0,not_defined,not_defined,есть medium,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить отрицательные пары, разбиение и теги объяснений для M1."
DC-C05-S05-M0,C05,code_injection,S05,explanation_quality,M0,apk_pair,2,M0-C05-PB-001;M0-C05-PB-002,20,18,ready,20,0,0,not_defined,not_defined,есть medium,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить отрицательные пары, разбиение и теги объяснений для M1."
DC-C06-S01-M0,C06,r8_obfuscation,S01,pair_similarity,M0,apk_pair,2,M0-C06-R8-001;M0-C06-OBF-APK-002,3,1,ready,20,17,0,not_defined,not_defined,есть medium,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 17 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C06-S02-M0,C06,r8_obfuscation,S02,candidate_retrieval,M0,apk_pair,2,M0-C06-R8-001;M0-C06-OBF-APK-002,3,1,ready,20,17,0,not_defined,not_defined,есть medium,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 17 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C06-S03-M0,C06,r8_obfuscation,S03,screening_cost,M0,apk_pair,2,M0-C06-R8-001;M0-C06-OBF-APK-002,3,1,ready,20,17,0,not_defined,not_defined,есть medium,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 17 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C06-S04-M0,C06,r8_obfuscation,S04,deep_cost,M0,apk_pair,2,M0-C06-R8-001;M0-C06-OBF-APK-002,3,1,ready,20,17,0,not_defined,not_defined,есть medium,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 17 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C06-S05-M0,C06,r8_obfuscation,S05,explanation_quality,M0,apk_pair,2,M0-C06-R8-001;M0-C06-OBF-APK-002,3,1,ready,20,17,0,not_defined,not_defined,есть medium,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 17 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C07-S01-M0,C07,native_lib_change,S01,pair_similarity,M0,apk_pair,2,M0-C07-NATIVE-APK-001;M0-C07-NATIVE-APK-002,2,0,ready,20,18,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 18 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C07-S02-M0,C07,native_lib_change,S02,candidate_retrieval,M0,apk_pair,2,M0-C07-NATIVE-APK-001;M0-C07-NATIVE-APK-002,2,0,ready,20,18,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 18 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C07-S03-M0,C07,native_lib_change,S03,screening_cost,M0,apk_pair,2,M0-C07-NATIVE-APK-001;M0-C07-NATIVE-APK-002,2,0,ready,20,18,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 18 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C07-S04-M0,C07,native_lib_change,S04,deep_cost,M0,apk_pair,2,M0-C07-NATIVE-APK-001;M0-C07-NATIVE-APK-002,2,0,ready,20,18,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 18 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C07-S05-M0,C07,native_lib_change,S05,explanation_quality,M0,apk_pair,2,M0-C07-NATIVE-APK-001;M0-C07-NATIVE-APK-002,2,0,ready,20,18,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 18 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C08-S01-M0,C08,code_deletion,S01,pair_similarity,M0,apk_pair,2,M0-C08-DEL-APK-002;M0-C08-DEL-APK-003,3,1,ready,20,17,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 17 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C08-S02-M0,C08,code_deletion,S02,candidate_retrieval,M0,apk_pair,2,M0-C08-DEL-APK-002;M0-C08-DEL-APK-003,3,1,ready,20,17,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 17 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C08-S03-M0,C08,code_deletion,S03,screening_cost,M0,apk_pair,2,M0-C08-DEL-APK-002;M0-C08-DEL-APK-003,3,1,ready,20,17,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 17 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C08-S04-M0,C08,code_deletion,S04,deep_cost,M0,apk_pair,2,M0-C08-DEL-APK-002;M0-C08-DEL-APK-003,3,1,ready,20,17,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 17 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C08-S05-M0,C08,code_deletion,S05,explanation_quality,M0,apk_pair,2,M0-C08-DEL-APK-002;M0-C08-DEL-APK-003,3,1,ready,20,17,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 17 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C09-S01-M0,C09,multidex_change,S01,pair_similarity,M0,apk_pair,2,M0-C09-MDEX-APK-001;M0-C09-MDEX-APK-002,2,0,ready,20,18,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 18 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C09-S02-M0,C09,multidex_change,S02,candidate_retrieval,M0,apk_pair,2,M0-C09-MDEX-APK-001;M0-C09-MDEX-APK-002,2,0,ready,20,18,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 18 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C09-S03-M0,C09,multidex_change,S03,screening_cost,M0,apk_pair,2,M0-C09-MDEX-APK-001;M0-C09-MDEX-APK-002,2,0,ready,20,18,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 18 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C09-S04-M0,C09,multidex_change,S04,deep_cost,M0,apk_pair,2,M0-C09-MDEX-APK-001;M0-C09-MDEX-APK-002,2,0,ready,20,18,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 18 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C09-S05-M0,C09,multidex_change,S05,explanation_quality,M0,apk_pair,2,M0-C09-MDEX-APK-001;M0-C09-MDEX-APK-002,2,0,ready,20,18,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 18 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-F01-S06-M0,F01,analysis_failure,S06,failure_robustness,M0,failure_case,2,M0-F01-FAIL-APK-002;M0-F01-FAIL-APK-003,3,1,ready,20,17,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 17 случаев сбоя до M1: timeout, malformed, unpack_failed, code-empty; затем зафиксировать разбиение."
