coordinate,class_code,class_name,scenario_code,scenario_name,maturity,canonical_item_kind,canonical_index,seed_pair_id,label,label_confidence,ground_truth_kind,data_quality,left_sha256,right_sha256,left_apk_ref,right_apk_ref,source_kind,source_ref,expected_change,expected_invariants,reuse_group,independence_unit,claim_scope
DC-C02-S01-M0,C02,library_injection,S01,pair_similarity,M0,apk_pair,1,M0-C02-LIB-APK-001,positive_library_injection,strong,controlled_generated_transformation,generated_local_verified,41f77e16e8da344d7a89dd070e132567f1df427189b58cd90d7405d2d65eb62d,9b7e49a16e02535735e71b863b3910300686c8a0e8ed1f2e923fc5ff8f85ac06,m0/generated-apks/M0-C02-LIB-APK-001/left.apk,m0/generated-apks/M0-C02-LIB-APK-001/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,new synthetic library-like package com.phd.m0.syntheticlib.* added,manifest package and base app classes stay unchanged,m0-controlled-familya,m0-controlled-familya,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
DC-C02-S01-M0,C02,library_injection,S01,pair_similarity,M0,apk_pair,2,M0-C02-LIB-APK-002,positive_library_injection,strong,controlled_generated_transformation,generated_local_verified,bb78b8453a5db6060ba428e33e724685c85880ddfd2d935673bb9bbae7c11ca2,3d573d996e632d1554247282b471ccfe77b3c4bfeffafb9caadf2ef4090a7468,m0/generated-apks/M0-C02-LIB-APK-002/left.apk,m0/generated-apks/M0-C02-LIB-APK-002/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,new synthetic library-like package com.phd.m0.syntheticlib.* added,manifest package and base app classes stay unchanged,m0-controlled-familyb,m0-controlled-familyb,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
DC-C02-S02-M0,C02,library_injection,S02,candidate_retrieval,M0,apk_pair,1,M0-C02-LIB-APK-001,positive_library_injection,strong,controlled_generated_transformation,generated_local_verified,41f77e16e8da344d7a89dd070e132567f1df427189b58cd90d7405d2d65eb62d,9b7e49a16e02535735e71b863b3910300686c8a0e8ed1f2e923fc5ff8f85ac06,m0/generated-apks/M0-C02-LIB-APK-001/left.apk,m0/generated-apks/M0-C02-LIB-APK-001/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,new synthetic library-like package com.phd.m0.syntheticlib.* added,manifest package and base app classes stay unchanged,m0-controlled-familya,m0-controlled-familya,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
DC-C02-S02-M0,C02,library_injection,S02,candidate_retrieval,M0,apk_pair,2,M0-C02-LIB-APK-002,positive_library_injection,strong,controlled_generated_transformation,generated_local_verified,bb78b8453a5db6060ba428e33e724685c85880ddfd2d935673bb9bbae7c11ca2,3d573d996e632d1554247282b471ccfe77b3c4bfeffafb9caadf2ef4090a7468,m0/generated-apks/M0-C02-LIB-APK-002/left.apk,m0/generated-apks/M0-C02-LIB-APK-002/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,new synthetic library-like package com.phd.m0.syntheticlib.* added,manifest package and base app classes stay unchanged,m0-controlled-familyb,m0-controlled-familyb,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
DC-C02-S03-M0,C02,library_injection,S03,screening_cost,M0,apk_pair,1,M0-C02-LIB-APK-001,positive_library_injection,strong,controlled_generated_transformation,generated_local_verified,41f77e16e8da344d7a89dd070e132567f1df427189b58cd90d7405d2d65eb62d,9b7e49a16e02535735e71b863b3910300686c8a0e8ed1f2e923fc5ff8f85ac06,m0/generated-apks/M0-C02-LIB-APK-001/left.apk,m0/generated-apks/M0-C02-LIB-APK-001/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,new synthetic library-like package com.phd.m0.syntheticlib.* added,manifest package and base app classes stay unchanged,m0-controlled-familya,m0-controlled-familya,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
DC-C02-S03-M0,C02,library_injection,S03,screening_cost,M0,apk_pair,2,M0-C02-LIB-APK-002,positive_library_injection,strong,controlled_generated_transformation,generated_local_verified,bb78b8453a5db6060ba428e33e724685c85880ddfd2d935673bb9bbae7c11ca2,3d573d996e632d1554247282b471ccfe77b3c4bfeffafb9caadf2ef4090a7468,m0/generated-apks/M0-C02-LIB-APK-002/left.apk,m0/generated-apks/M0-C02-LIB-APK-002/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,new synthetic library-like package com.phd.m0.syntheticlib.* added,manifest package and base app classes stay unchanged,m0-controlled-familyb,m0-controlled-familyb,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
DC-C02-S04-M0,C02,library_injection,S04,deep_cost,M0,apk_pair,1,M0-C02-LIB-APK-001,positive_library_injection,strong,controlled_generated_transformation,generated_local_verified,41f77e16e8da344d7a89dd070e132567f1df427189b58cd90d7405d2d65eb62d,9b7e49a16e02535735e71b863b3910300686c8a0e8ed1f2e923fc5ff8f85ac06,m0/generated-apks/M0-C02-LIB-APK-001/left.apk,m0/generated-apks/M0-C02-LIB-APK-001/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,new synthetic library-like package com.phd.m0.syntheticlib.* added,manifest package and base app classes stay unchanged,m0-controlled-familya,m0-controlled-familya,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
DC-C02-S04-M0,C02,library_injection,S04,deep_cost,M0,apk_pair,2,M0-C02-LIB-APK-002,positive_library_injection,strong,controlled_generated_transformation,generated_local_verified,bb78b8453a5db6060ba428e33e724685c85880ddfd2d935673bb9bbae7c11ca2,3d573d996e632d1554247282b471ccfe77b3c4bfeffafb9caadf2ef4090a7468,m0/generated-apks/M0-C02-LIB-APK-002/left.apk,m0/generated-apks/M0-C02-LIB-APK-002/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,new synthetic library-like package com.phd.m0.syntheticlib.* added,manifest package and base app classes stay unchanged,m0-controlled-familyb,m0-controlled-familyb,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
DC-C02-S05-M0,C02,library_injection,S05,explanation_quality,M0,apk_pair,1,M0-C02-LIB-APK-001,positive_library_injection,strong,controlled_generated_transformation,generated_local_verified,41f77e16e8da344d7a89dd070e132567f1df427189b58cd90d7405d2d65eb62d,9b7e49a16e02535735e71b863b3910300686c8a0e8ed1f2e923fc5ff8f85ac06,m0/generated-apks/M0-C02-LIB-APK-001/left.apk,m0/generated-apks/M0-C02-LIB-APK-001/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,new synthetic library-like package com.phd.m0.syntheticlib.* added,manifest package and base app classes stay unchanged,m0-controlled-familya,m0-controlled-familya,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
DC-C02-S05-M0,C02,library_injection,S05,explanation_quality,M0,apk_pair,2,M0-C02-LIB-APK-002,positive_library_injection,strong,controlled_generated_transformation,generated_local_verified,bb78b8453a5db6060ba428e33e724685c85880ddfd2d935673bb9bbae7c11ca2,3d573d996e632d1554247282b471ccfe77b3c4bfeffafb9caadf2ef4090a7468,m0/generated-apks/M0-C02-LIB-APK-002/left.apk,m0/generated-apks/M0-C02-LIB-APK-002/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,new synthetic library-like package com.phd.m0.syntheticlib.* added,manifest package and base app classes stay unchanged,m0-controlled-familyb,m0-controlled-familyb,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
DC-C03-S01-M0,C03,resource_change,S01,pair_similarity,M0,apk_pair,1,M0-C03-RES-APK-001,positive_resource_change,strong,controlled_generated_transformation,generated_local_verified,1441d2dcb6cc02efc44145360041caa06535623c663f049cf9d81bd452efc2cf,311d20d49566e4eb754f9056a7a853fa0a57742768a6dd388b76d793061246cf,m0/generated-apks/M0-C03-RES-APK-001/left.apk,m0/generated-apks/M0-C03-RES-APK-001/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,string resource changed and res/raw/m0_resource_marker.txt added,dex class set stays unchanged,m0-controlled-familya,m0-controlled-familya,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
DC-C03-S01-M0,C03,resource_change,S01,pair_similarity,M0,apk_pair,2,M0-C03-RES-APK-002,positive_resource_change,strong,controlled_generated_transformation,generated_local_verified,d862ea4103a9c3d21c54fe1e716b9216064a0f264ceee65f22fbaac5fe8ee9a2,e3d131e8225879141773646b2e748df7b924bf8c4b1f6e79a8f466679aaa07b6,m0/generated-apks/M0-C03-RES-APK-002/left.apk,m0/generated-apks/M0-C03-RES-APK-002/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,string resource changed and res/raw/m0_resource_marker.txt added,dex class set stays unchanged,m0-controlled-familyb,m0-controlled-familyb,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
DC-C03-S02-M0,C03,resource_change,S02,candidate_retrieval,M0,apk_pair,1,M0-C03-RES-APK-001,positive_resource_change,strong,controlled_generated_transformation,generated_local_verified,1441d2dcb6cc02efc44145360041caa06535623c663f049cf9d81bd452efc2cf,311d20d49566e4eb754f9056a7a853fa0a57742768a6dd388b76d793061246cf,m0/generated-apks/M0-C03-RES-APK-001/left.apk,m0/generated-apks/M0-C03-RES-APK-001/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,string resource changed and res/raw/m0_resource_marker.txt added,dex class set stays unchanged,m0-controlled-familya,m0-controlled-familya,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
DC-C03-S02-M0,C03,resource_change,S02,candidate_retrieval,M0,apk_pair,2,M0-C03-RES-APK-002,positive_resource_change,strong,controlled_generated_transformation,generated_local_verified,d862ea4103a9c3d21c54fe1e716b9216064a0f264ceee65f22fbaac5fe8ee9a2,e3d131e8225879141773646b2e748df7b924bf8c4b1f6e79a8f466679aaa07b6,m0/generated-apks/M0-C03-RES-APK-002/left.apk,m0/generated-apks/M0-C03-RES-APK-002/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,string resource changed and res/raw/m0_resource_marker.txt added,dex class set stays unchanged,m0-controlled-familyb,m0-controlled-familyb,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
DC-C03-S03-M0,C03,resource_change,S03,screening_cost,M0,apk_pair,1,M0-C03-RES-APK-001,positive_resource_change,strong,controlled_generated_transformation,generated_local_verified,1441d2dcb6cc02efc44145360041caa06535623c663f049cf9d81bd452efc2cf,311d20d49566e4eb754f9056a7a853fa0a57742768a6dd388b76d793061246cf,m0/generated-apks/M0-C03-RES-APK-001/left.apk,m0/generated-apks/M0-C03-RES-APK-001/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,string resource changed and res/raw/m0_resource_marker.txt added,dex class set stays unchanged,m0-controlled-familya,m0-controlled-familya,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
DC-C03-S03-M0,C03,resource_change,S03,screening_cost,M0,apk_pair,2,M0-C03-RES-APK-002,positive_resource_change,strong,controlled_generated_transformation,generated_local_verified,d862ea4103a9c3d21c54fe1e716b9216064a0f264ceee65f22fbaac5fe8ee9a2,e3d131e8225879141773646b2e748df7b924bf8c4b1f6e79a8f466679aaa07b6,m0/generated-apks/M0-C03-RES-APK-002/left.apk,m0/generated-apks/M0-C03-RES-APK-002/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,string resource changed and res/raw/m0_resource_marker.txt added,dex class set stays unchanged,m0-controlled-familyb,m0-controlled-familyb,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
DC-C03-S04-M0,C03,resource_change,S04,deep_cost,M0,apk_pair,1,M0-C03-RES-APK-001,positive_resource_change,strong,controlled_generated_transformation,generated_local_verified,1441d2dcb6cc02efc44145360041caa06535623c663f049cf9d81bd452efc2cf,311d20d49566e4eb754f9056a7a853fa0a57742768a6dd388b76d793061246cf,m0/generated-apks/M0-C03-RES-APK-001/left.apk,m0/generated-apks/M0-C03-RES-APK-001/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,string resource changed and res/raw/m0_resource_marker.txt added,dex class set stays unchanged,m0-controlled-familya,m0-controlled-familya,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
DC-C03-S04-M0,C03,resource_change,S04,deep_cost,M0,apk_pair,2,M0-C03-RES-APK-002,positive_resource_change,strong,controlled_generated_transformation,generated_local_verified,d862ea4103a9c3d21c54fe1e716b9216064a0f264ceee65f22fbaac5fe8ee9a2,e3d131e8225879141773646b2e748df7b924bf8c4b1f6e79a8f466679aaa07b6,m0/generated-apks/M0-C03-RES-APK-002/left.apk,m0/generated-apks/M0-C03-RES-APK-002/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,string resource changed and res/raw/m0_resource_marker.txt added,dex class set stays unchanged,m0-controlled-familyb,m0-controlled-familyb,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
DC-C03-S05-M0,C03,resource_change,S05,explanation_quality,M0,apk_pair,1,M0-C03-RES-APK-001,positive_resource_change,strong,controlled_generated_transformation,generated_local_verified,1441d2dcb6cc02efc44145360041caa06535623c663f049cf9d81bd452efc2cf,311d20d49566e4eb754f9056a7a853fa0a57742768a6dd388b76d793061246cf,m0/generated-apks/M0-C03-RES-APK-001/left.apk,m0/generated-apks/M0-C03-RES-APK-001/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,string resource changed and res/raw/m0_resource_marker.txt added,dex class set stays unchanged,m0-controlled-familya,m0-controlled-familya,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
DC-C03-S05-M0,C03,resource_change,S05,explanation_quality,M0,apk_pair,2,M0-C03-RES-APK-002,positive_resource_change,strong,controlled_generated_transformation,generated_local_verified,d862ea4103a9c3d21c54fe1e716b9216064a0f264ceee65f22fbaac5fe8ee9a2,e3d131e8225879141773646b2e748df7b924bf8c4b1f6e79a8f466679aaa07b6,m0/generated-apks/M0-C03-RES-APK-002/left.apk,m0/generated-apks/M0-C03-RES-APK-002/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,string resource changed and res/raw/m0_resource_marker.txt added,dex class set stays unchanged,m0-controlled-familyb,m0-controlled-familyb,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
DC-C04-S01-M0,C04,package_rename,S01,pair_similarity,M0,apk_pair,1,M0-C04-PKG-APK-002,positive_package_rename,strong,controlled_generated_transformation,generated_local_verified,36425a8f13b0836794e118649dcae01d10adcf51953ab42a235b523f1837ba3f,1ef1f0920da61fcb1d3f92294374afe9f71f340cded0230f1ba134a2c78c0b68,m0/generated-apks/M0-C04-PKG-APK-002/left.apk,m0/generated-apks/M0-C04-PKG-APK-002/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,manifest and class namespace changed to com.phd.m0.renamed.familya,same generated class count and method bodies,m0-controlled-familya,m0-controlled-familya,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
DC-C04-S01-M0,C04,package_rename,S01,pair_similarity,M0,apk_pair,2,M0-C04-PKG-APK-003,positive_package_rename,strong,controlled_generated_transformation,generated_local_verified,9f24f2f77bf1822351e2383a434d23e743d8db99ef0620a19fe13be7d0cef550,14b83e2be9fd605e4fb22f6941e8fb9c787a72240cb8961e2f8417e24d7fda67,m0/generated-apks/M0-C04-PKG-APK-003/left.apk,m0/generated-apks/M0-C04-PKG-APK-003/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,manifest and class namespace changed to com.phd.m0.renamed.familyb,same generated class count and method bodies,m0-controlled-familyb,m0-controlled-familyb,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
DC-C04-S02-M0,C04,package_rename,S02,candidate_retrieval,M0,apk_pair,1,M0-C04-PKG-APK-002,positive_package_rename,strong,controlled_generated_transformation,generated_local_verified,36425a8f13b0836794e118649dcae01d10adcf51953ab42a235b523f1837ba3f,1ef1f0920da61fcb1d3f92294374afe9f71f340cded0230f1ba134a2c78c0b68,m0/generated-apks/M0-C04-PKG-APK-002/left.apk,m0/generated-apks/M0-C04-PKG-APK-002/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,manifest and class namespace changed to com.phd.m0.renamed.familya,same generated class count and method bodies,m0-controlled-familya,m0-controlled-familya,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
DC-C04-S02-M0,C04,package_rename,S02,candidate_retrieval,M0,apk_pair,2,M0-C04-PKG-APK-003,positive_package_rename,strong,controlled_generated_transformation,generated_local_verified,9f24f2f77bf1822351e2383a434d23e743d8db99ef0620a19fe13be7d0cef550,14b83e2be9fd605e4fb22f6941e8fb9c787a72240cb8961e2f8417e24d7fda67,m0/generated-apks/M0-C04-PKG-APK-003/left.apk,m0/generated-apks/M0-C04-PKG-APK-003/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,manifest and class namespace changed to com.phd.m0.renamed.familyb,same generated class count and method bodies,m0-controlled-familyb,m0-controlled-familyb,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
DC-C04-S03-M0,C04,package_rename,S03,screening_cost,M0,apk_pair,1,M0-C04-PKG-APK-002,positive_package_rename,strong,controlled_generated_transformation,generated_local_verified,36425a8f13b0836794e118649dcae01d10adcf51953ab42a235b523f1837ba3f,1ef1f0920da61fcb1d3f92294374afe9f71f340cded0230f1ba134a2c78c0b68,m0/generated-apks/M0-C04-PKG-APK-002/left.apk,m0/generated-apks/M0-C04-PKG-APK-002/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,manifest and class namespace changed to com.phd.m0.renamed.familya,same generated class count and method bodies,m0-controlled-familya,m0-controlled-familya,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
DC-C04-S03-M0,C04,package_rename,S03,screening_cost,M0,apk_pair,2,M0-C04-PKG-APK-003,positive_package_rename,strong,controlled_generated_transformation,generated_local_verified,9f24f2f77bf1822351e2383a434d23e743d8db99ef0620a19fe13be7d0cef550,14b83e2be9fd605e4fb22f6941e8fb9c787a72240cb8961e2f8417e24d7fda67,m0/generated-apks/M0-C04-PKG-APK-003/left.apk,m0/generated-apks/M0-C04-PKG-APK-003/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,manifest and class namespace changed to com.phd.m0.renamed.familyb,same generated class count and method bodies,m0-controlled-familyb,m0-controlled-familyb,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
DC-C04-S04-M0,C04,package_rename,S04,deep_cost,M0,apk_pair,1,M0-C04-PKG-APK-002,positive_package_rename,strong,controlled_generated_transformation,generated_local_verified,36425a8f13b0836794e118649dcae01d10adcf51953ab42a235b523f1837ba3f,1ef1f0920da61fcb1d3f92294374afe9f71f340cded0230f1ba134a2c78c0b68,m0/generated-apks/M0-C04-PKG-APK-002/left.apk,m0/generated-apks/M0-C04-PKG-APK-002/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,manifest and class namespace changed to com.phd.m0.renamed.familya,same generated class count and method bodies,m0-controlled-familya,m0-controlled-familya,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
DC-C04-S04-M0,C04,package_rename,S04,deep_cost,M0,apk_pair,2,M0-C04-PKG-APK-003,positive_package_rename,strong,controlled_generated_transformation,generated_local_verified,9f24f2f77bf1822351e2383a434d23e743d8db99ef0620a19fe13be7d0cef550,14b83e2be9fd605e4fb22f6941e8fb9c787a72240cb8961e2f8417e24d7fda67,m0/generated-apks/M0-C04-PKG-APK-003/left.apk,m0/generated-apks/M0-C04-PKG-APK-003/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,manifest and class namespace changed to com.phd.m0.renamed.familyb,same generated class count and method bodies,m0-controlled-familyb,m0-controlled-familyb,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
DC-C04-S05-M0,C04,package_rename,S05,explanation_quality,M0,apk_pair,1,M0-C04-PKG-APK-002,positive_package_rename,strong,controlled_generated_transformation,generated_local_verified,36425a8f13b0836794e118649dcae01d10adcf51953ab42a235b523f1837ba3f,1ef1f0920da61fcb1d3f92294374afe9f71f340cded0230f1ba134a2c78c0b68,m0/generated-apks/M0-C04-PKG-APK-002/left.apk,m0/generated-apks/M0-C04-PKG-APK-002/right.apk,controlled_generated_apk_pair,M0-CONTROLLED-GENERATED:materializer,manifest and class namespace changed to com.phd.m0.renamed.familya,same generated class count and method bodies,m0-controlled-familya,m0-controlled-familya,M0 technical and diagnostic use only; synthetic pair is not real-world quality evidence.
