coordinate,class_code,class_name,scenario_code,scenario_name,maturity,data_status,seed_kind,seed_pair_count,seed_app_count,primary_seed_ref,reusable_pairs_csv,allowed_use,blocker,next_action
DC-C02-S05-M0,C02,library_injection,S05,explanation_quality,M0,runnable_local,local_or_generated_apk_pair,5,4,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C02-S06-M0,C02,library_injection,S06,failure_robustness,M0,covered_by_failure_coordinate,use_DC-F01-S06-M0,0,0,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,Use DC-F01-S06-M0 for failure robustness; this class coordinate is kept for cube completeness.,,Do not invent class-specific failures; link real failures through DC-F01-S06-M0.
DC-C03-S01-M0,C03,resource_change,S01,pair_similarity,M0,runnable_local,local_or_generated_apk_pair,5,4,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C03-S02-M0,C03,resource_change,S02,candidate_retrieval,M0,runnable_local,local_or_generated_apk_pair,5,4,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C03-S03-M0,C03,resource_change,S03,screening_cost,M0,runnable_local,local_or_generated_apk_pair,5,4,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C03-S04-M0,C03,resource_change,S04,deep_cost,M0,runnable_local,local_or_generated_apk_pair,5,4,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C03-S05-M0,C03,resource_change,S05,explanation_quality,M0,runnable_local,local_or_generated_apk_pair,5,4,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C03-S06-M0,C03,resource_change,S06,failure_robustness,M0,covered_by_failure_coordinate,use_DC-F01-S06-M0,0,0,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,Use DC-F01-S06-M0 for failure robustness; this class coordinate is kept for cube completeness.,,Do not invent class-specific failures; link real failures through DC-F01-S06-M0.
DC-C04-S01-M0,C04,package_rename,S01,pair_similarity,M0,runnable_local,local_or_generated_apk_pair,3,4,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C04-S02-M0,C04,package_rename,S02,candidate_retrieval,M0,runnable_local,local_or_generated_apk_pair,3,4,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C04-S03-M0,C04,package_rename,S03,screening_cost,M0,runnable_local,local_or_generated_apk_pair,3,4,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C04-S04-M0,C04,package_rename,S04,deep_cost,M0,runnable_local,local_or_generated_apk_pair,3,4,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C04-S05-M0,C04,package_rename,S05,explanation_quality,M0,runnable_local,local_or_generated_apk_pair,3,4,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C04-S06-M0,C04,package_rename,S06,failure_robustness,M0,covered_by_failure_coordinate,use_DC-F01-S06-M0,0,0,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,Use DC-F01-S06-M0 for failure robustness; this class coordinate is kept for cube completeness.,,Do not invent class-specific failures; link real failures through DC-F01-S06-M0.
DC-C05-S01-M0,C05,code_injection,S01,pair_similarity,M0,stable_cache_decode_verified,sha_pair_with_stable_cache,20,40,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical runs are allowed with the external APK cache; quality claims still require M1+ split.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C05-S02-M0,C05,code_injection,S02,candidate_retrieval,M0,stable_cache_decode_verified,sha_pair_with_stable_cache,20,40,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical runs are allowed with the external APK cache; quality claims still require M1+ split.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C05-S03-M0,C05,code_injection,S03,screening_cost,M0,stable_cache_decode_verified,sha_pair_with_stable_cache,20,40,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical runs are allowed with the external APK cache; quality claims still require M1+ split.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C05-S04-M0,C05,code_injection,S04,deep_cost,M0,stable_cache_decode_verified,sha_pair_with_stable_cache,20,40,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical runs are allowed with the external APK cache; quality claims still require M1+ split.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C05-S05-M0,C05,code_injection,S05,explanation_quality,M0,stable_cache_decode_verified,sha_pair_with_stable_cache,20,40,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical runs are allowed with the external APK cache; quality claims still require M1+ split.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C05-S06-M0,C05,code_injection,S06,failure_robustness,M0,covered_by_failure_coordinate,use_DC-F01-S06-M0,0,0,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,Use DC-F01-S06-M0 for failure robustness; this class coordinate is kept for cube completeness.,,Do not invent class-specific failures; link real failures through DC-F01-S06-M0.
DC-C06-S01-M0,C06,r8_obfuscation,S01,pair_similarity,M0,runnable_local,local_or_generated_apk_pair,3,9,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C06-S02-M0,C06,r8_obfuscation,S02,candidate_retrieval,M0,runnable_local,local_or_generated_apk_pair,3,9,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C06-S03-M0,C06,r8_obfuscation,S03,screening_cost,M0,runnable_local,local_or_generated_apk_pair,3,9,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C06-S04-M0,C06,r8_obfuscation,S04,deep_cost,M0,runnable_local,local_or_generated_apk_pair,3,9,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C06-S05-M0,C06,r8_obfuscation,S05,explanation_quality,M0,runnable_local,local_or_generated_apk_pair,3,9,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C06-S06-M0,C06,r8_obfuscation,S06,failure_robustness,M0,covered_by_failure_coordinate,use_DC-F01-S06-M0,0,0,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,Use DC-F01-S06-M0 for failure robustness; this class coordinate is kept for cube completeness.,,Do not invent class-specific failures; link real failures through DC-F01-S06-M0.
DC-C07-S01-M0,C07,native_lib_change,S01,pair_similarity,M0,runnable_local,local_or_generated_apk_pair,2,5,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C07-S02-M0,C07,native_lib_change,S02,candidate_retrieval,M0,runnable_local,local_or_generated_apk_pair,2,5,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C07-S03-M0,C07,native_lib_change,S03,screening_cost,M0,runnable_local,local_or_generated_apk_pair,2,5,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C07-S04-M0,C07,native_lib_change,S04,deep_cost,M0,runnable_local,local_or_generated_apk_pair,2,5,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C07-S05-M0,C07,native_lib_change,S05,explanation_quality,M0,runnable_local,local_or_generated_apk_pair,2,5,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C07-S06-M0,C07,native_lib_change,S06,failure_robustness,M0,covered_by_failure_coordinate,use_DC-F01-S06-M0,0,0,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,Use DC-F01-S06-M0 for failure robustness; this class coordinate is kept for cube completeness.,,Do not invent class-specific failures; link real failures through DC-F01-S06-M0.
DC-C08-S01-M0,C08,code_deletion,S01,pair_similarity,M0,runnable_local,local_or_generated_apk_pair,3,4,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C08-S02-M0,C08,code_deletion,S02,candidate_retrieval,M0,runnable_local,local_or_generated_apk_pair,3,4,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C08-S03-M0,C08,code_deletion,S03,screening_cost,M0,runnable_local,local_or_generated_apk_pair,3,4,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C08-S04-M0,C08,code_deletion,S04,deep_cost,M0,runnable_local,local_or_generated_apk_pair,3,4,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C08-S05-M0,C08,code_deletion,S05,explanation_quality,M0,runnable_local,local_or_generated_apk_pair,3,4,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C08-S06-M0,C08,code_deletion,S06,failure_robustness,M0,covered_by_failure_coordinate,use_DC-F01-S06-M0,0,0,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,Use DC-F01-S06-M0 for failure robustness; this class coordinate is kept for cube completeness.,,Do not invent class-specific failures; link real failures through DC-F01-S06-M0.
DC-C09-S01-M0,C09,multidex_change,S01,pair_similarity,M0,runnable_local,local_or_generated_apk_pair,5,4,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C09-S02-M0,C09,multidex_change,S02,candidate_retrieval,M0,runnable_local,local_or_generated_apk_pair,5,4,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C09-S03-M0,C09,multidex_change,S03,screening_cost,M0,runnable_local,local_or_generated_apk_pair,5,4,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C09-S04-M0,C09,multidex_change,S04,deep_cost,M0,runnable_local,local_or_generated_apk_pair,5,4,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C09-S05-M0,C09,multidex_change,S05,explanation_quality,M0,runnable_local,local_or_generated_apk_pair,5,4,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C09-S06-M0,C09,multidex_change,S06,failure_robustness,M0,covered_by_failure_coordinate,use_DC-F01-S06-M0,0,0,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,Use DC-F01-S06-M0 for failure robustness; this class coordinate is kept for cube completeness.,,Do not invent class-specific failures; link real failures through DC-F01-S06-M0.
DC-F01-S06-M0,F01,analysis_failure,S06,failure_robustness,M0,runnable_local,local_or_generated_failure_apk,3,2,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 failure handling check only.,,"Expand to timeout, malformed, unpack_failed and code-empty cases for M1."
